session_id,participant_id,condition,condition_label,window,phase,R_b,AI_accuracy,P,P_initial,cal_gap,appropriate_reliance,perf_gain,selfconf,aiconf,switch_to_ai,switch_from_ai,n_followed,n_ai_accurate,n_correct
P21_C1,21,1,High_to_Low,2,pre_switch,0.2,0.6,0.2,0.2,-0.4,0.6,0.0,0.5,0.7,0.0,0.0,1,3,1
P21_C1,21,1,High_to_Low,3,pre_switch,1.0,0.8,0.8,0.0,0.2,0.8,0.8,0.5,0.75,1.0,0.0,5,4,4
P21_C1,21,1,High_to_Low,4,pre_switch,1.0,1.0,1.0,0.2,0.0,1.0,0.8,0.5,0.8,1.0,0.0,5,5,5
P21_C1,21,1,High_to_Low,5,post_switch,0.8,0.2,0.0,0.0,0.6,0.0,0.0,0.45,0.55,0.8,0.0,4,1,0
P21_C1,21,1,High_to_Low,6,post_switch,0.6,0.2,0.2,0.0,0.4,0.6,0.2,0.5,0.55,0.6,0.0,3,1,1
P21_C2,21,2,Low_to_High,1,pre_switch,0.4,0.2,0.4,0.6,0.2,0.8,-0.2,0.55,0.5,0.4,0.0,2,1,2
P21_C2,21,2,Low_to_High,2,pre_switch,0.6,0.4,0.6,0.4,0.2,0.8,0.2,0.6,0.4,0.4,0.0,3,2,3
P21_C2,21,2,Low_to_High,3,pre_switch,0.2,0.2,0.6,0.6,0.0,1.0,0.0,0.55,0.6,0.0,0.0,1,1,3
P21_C2,21,2,Low_to_High,4,pre_switch,0.0,0.0,0.8,0.8,0.0,1.0,0.0,0.7,0.4,0.0,0.0,0,0,4
P21_C2,21,2,Low_to_High,5,post_switch,0.4,0.8,0.4,0.0,-0.4,0.6,0.4,0.45,0.55,0.4,0.0,2,4,2
P21_C2,21,2,Low_to_High,6,post_switch,0.4,0.8,0.6,0.6,-0.4,0.6,0.0,0.65,0.7,0.0,0.0,2,4,3
P22_C1,22,1,High_to_Low,1,pre_switch,0.8,0.8,0.6,0.2,0.0,0.6,0.4,0.55,0.65,0.6,0.0,4,4,3
P22_C1,22,1,High_to_Low,2,pre_switch,0.4,0.6,0.4,0.4,-0.2,0.4,0.0,0.4,0.45,0.2,0.0,2,3,2
P22_C1,22,1,High_to_Low,3,pre_switch,0.6,0.8,0.6,0.4,-0.2,0.8,0.2,0.25,0.5,0.4,0.0,3,4,3
P22_C1,22,1,High_to_Low,4,pre_switch,1.0,1.0,1.0,0.6,0.0,1.0,0.4,0.35,0.75,0.6,0.0,5,5,5
P22_C1,22,1,High_to_Low,5,post_switch,0.2,0.2,0.6,0.8,0.0,0.6,-0.2,0.5,0.7,0.2,0.0,1,1,3
P22_C1,22,1,High_to_Low,6,post_switch,0.4,0.2,0.8,0.4,0.2,0.8,0.4,0.5,0.55,0.4,0.0,2,1,4
P22_C2,22,2,Low_to_High,1,pre_switch,0.4,0.2,0.2,0.2,0.2,0.4,0.0,0.5,0.55,0.4,0.0,2,1,1
P22_C2,22,2,Low_to_High,2,pre_switch,0.2,0.4,0.4,0.2,-0.2,0.8,0.2,0.5,0.5,0.2,0.0,1,2,2
P22_C2,22,2,Low_to_High,3,pre_switch,0.4,0.2,0.2,0.2,0.2,0.4,0.0,0.5,0.5,0.2,0.0,2,1,1
P22_C2,22,2,Low_to_High,4,pre_switch,0.4,0.0,0.6,0.8,0.4,0.6,-0.2,0.45,0.4,0.4,0.0,2,0,3
P22_C2,22,2,Low_to_High,5,post_switch,0.8,0.8,1.0,0.2,0.0,1.0,0.8,0.5,0.5,0.8,0.0,4,4,5
P22_C2,22,2,Low_to_High,6,post_switch,0.8,0.8,1.0,0.6,0.0,1.0,0.4,0.6,0.6,0.4,0.0,4,4,5
P23_C1,23,1,High_to_Low,1,pre_switch,0.6,0.8,0.6,0.2,-0.2,0.8,0.4,0.6,0.75,0.4,0.0,3,4,3
P23_C1,23,1,High_to_Low,2,pre_switch,0.8,0.6,0.6,0.2,0.2,0.8,0.4,0.65,0.75,0.6,0.0,4,3,3
P23_C1,23,1,High_to_Low,3,pre_switch,0.6,0.8,0.6,0.2,-0.2,0.4,0.4,0.6,0.45,0.6,0.0,3,4,3
P23_C1,23,1,High_to_Low,4,pre_switch,0.6,1.0,0.6,0.2,-0.4,0.6,0.4,0.4,0.55,0.4,0.0,3,5,3
P23_C1,23,1,High_to_Low,5,post_switch,0.4,0.2,0.0,0.0,0.2,0.4,0.0,0.3,0.4,0.4,0.0,2,1,0
P23_C1,23,1,High_to_Low,6,post_switch,0.6,0.2,0.4,0.2,0.4,0.6,0.2,0.45,0.5,0.6,0.0,3,1,2
P23_C2,23,2,Low_to_High,1,pre_switch,1.0,0.2,0.2,0.2,0.8,0.2,0.0,0.35,0.65,1.0,0.0,5,1,1
P23_C2,23,2,Low_to_High,2,pre_switch,1.0,0.4,0.4,0.2,0.6,0.4,0.2,0.65,0.4,1.0,0.0,5,2,2
P23_C2,23,2,Low_to_High,3,pre_switch,1.0,0.2,0.2,0.2,0.8,0.2,0.0,0.8,0.3,0.8,0.0,5,1,1
P23_C2,23,2,Low_to_High,4,pre_switch,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3,0.15,1.0,0.0,5,0,0
P23_C2,23,2,Low_to_High,5,post_switch,1.0,0.8,0.8,0.2,0.2,0.8,0.6,0.5,0.3,0.8,0.0,5,4,4
P23_C2,23,2,Low_to_High,6,post_switch,1.0,0.8,0.8,0.2,0.2,0.8,0.6,0.75,0.7,1.0,0.0,5,4,4
