session_id,participant_id,condition,condition_label,trial_num,phase,followed_ai,ai_accurate,trial_correct,initial_correct,switched_to_ai,switched_from_ai,stayed_with_own,stayed_with_ai,ai_helped,ai_hurt,selfconf,aiconf,multiPV,feedback1,feedback2
P11_C1,11,1,High_to_Low,6,pre_switch,1,1,1,0,1,0,0,0,1,0,0.75,0.75,1,-5,5
P11_C1,11,1,High_to_Low,7,pre_switch,0,1,0,0,0,0,1,0,0,0,0.5,0.75,1,-5,-5
P11_C1,11,1,High_to_Low,8,pre_switch,1,1,1,1,0,0,0,1,0,0,0.75,0.75,1,5,5
P11_C1,11,1,High_to_Low,9,pre_switch,1,0,0,0,1,0,0,0,0,0,0.75,0.5,7,-5,-5
P11_C1,11,1,High_to_Low,10,pre_switch,0,0,0,0,0,0,1,0,0,0,0.75,0.5,7,-5,-5
P11_C1,11,1,High_to_Low,11,pre_switch,1,1,1,0,1,0,0,0,1,0,0.5,0.75,1,-5,5
P11_C1,11,1,High_to_Low,12,pre_switch,1,1,1,0,1,0,0,0,1,0,0.5,0.75,1,-5,5
P11_C1,11,1,High_to_Low,13,pre_switch,1,1,1,1,1,0,0,0,0,0,0.5,0.75,1,5,5
P11_C1,11,1,High_to_Low,14,pre_switch,1,1,1,1,1,0,0,0,0,0,0.25,0.75,1,5,5
P11_C1,11,1,High_to_Low,15,pre_switch,1,0,0,0,1,0,0,0,0,0,0.5,0.5,7,-5,-5
P11_C1,11,1,High_to_Low,16,pre_switch,1,1,1,1,0,0,0,1,0,0,0.75,0.75,1,5,5
P11_C1,11,1,High_to_Low,17,pre_switch,1,1,1,0,1,0,0,0,1,0,0.75,0.75,1,-5,5
P11_C1,11,1,High_to_Low,18,pre_switch,1,1,1,1,0,0,0,1,0,0,0.75,0.75,1,5,5
P11_C1,11,1,High_to_Low,19,pre_switch,1,1,1,0,1,0,0,0,1,0,0.75,0.75,1,-5,5
P11_C1,11,1,High_to_Low,20,pre_switch,1,1,1,0,1,0,0,0,1,0,0.75,0.75,1,-5,5
P11_C1,11,1,High_to_Low,21,post_switch,1,0,0,1,1,0,0,0,0,1,0.75,0.5,7,5,-5
P11_C1,11,1,High_to_Low,22,post_switch,0,0,0,0,0,0,1,0,0,0,0.5,0.75,7,-5,-5
P11_C1,11,1,High_to_Low,23,post_switch,1,0,0,0,1,0,0,0,0,0,0.75,0.5,7,-5,-5
P11_C1,11,1,High_to_Low,24,post_switch,0,1,1,1,0,0,1,0,0,0,0.75,0.5,1,5,5
P11_C1,11,1,High_to_Low,25,post_switch,1,0,0,0,1,0,0,0,0,0,0.75,0.25,7,-5,-5
P11_C1,11,1,High_to_Low,26,post_switch,0,0,1,1,0,0,1,0,0,0,0.75,0.5,7,5,5
P11_C1,11,1,High_to_Low,27,post_switch,1,0,0,1,1,0,0,0,0,1,0.75,0.5,7,5,-5
P11_C1,11,1,High_to_Low,28,post_switch,1,0,0,1,1,0,0,0,0,1,0.75,0.5,7,5,-5
P11_C1,11,1,High_to_Low,29,post_switch,0,1,0,0,0,0,1,0,0,0,0.5,0.5,1,-5,-5
P11_C1,11,1,High_to_Low,30,post_switch,0,0,0,0,0,0,1,0,0,0,0.25,0.75,7,-5,-5
P11_C2,11,2,Low_to_High,1,pre_switch,0,0,0,0,0,0,1,0,0,0,0.5,0.5,7,-5,-5
P11_C2,11,2,Low_to_High,2,pre_switch,0,0,0,0,0,0,1,0,0,0,0.5,0.5,7,-5,-5
P11_C2,11,2,Low_to_High,3,pre_switch,0,0,1,1,0,0,1,0,0,0,0.75,0.25,7,5,5
P11_C2,11,2,Low_to_High,4,pre_switch,0,1,0,0,0,0,1,0,0,0,0.5,0.5,1,-5,-5
P11_C2,11,2,Low_to_High,5,pre_switch,0,0,1,1,0,0,1,0,0,0,0.75,0.25,7,5,5
P11_C2,11,2,Low_to_High,6,pre_switch,0,0,0,0,0,0,1,0,0,0,0.5,0.5,7,-5,-5
P11_C2,11,2,Low_to_High,7,pre_switch,0,0,0,0,0,0,1,0,0,0,0.75,0.5,7,-5,-5
P11_C2,11,2,Low_to_High,8,pre_switch,0,0,1,1,0,0,1,0,0,0,0.75,0.25,7,5,5
P11_C2,11,2,Low_to_High,9,pre_switch,1,1,1,0,1,0,0,0,1,0,0.75,0.75,1,-5,5
P11_C2,11,2,Low_to_High,10,pre_switch,0,1,0,0,0,0,1,0,0,0,0.5,0.5,1,-5,-5
P11_C2,11,2,Low_to_High,11,pre_switch,0,0,0,0,0,0,1,0,0,0,0.25,0.5,7,-5,-5
P11_C2,11,2,Low_to_High,12,pre_switch,0,0,0,0,0,0,1,0,0,0,0.25,0.5,7,-5,-5
P11_C2,11,2,Low_to_High,13,pre_switch,0,0,0,0,0,0,1,0,0,0,0.25,0.25,7,-5,-5
P11_C2,11,2,Low_to_High,14,pre_switch,1,0,0,0,1,0,0,0,0,0,0.25,0.25,7,-5,-5
P11_C2,11,2,Low_to_High,15,pre_switch,1,1,1,1,0,0,0,1,0,0,0.75,0.75,1,5,5
P11_C2,11,2,Low_to_High,16,pre_switch,0,0,1,1,0,0,1,0,0,0,0.75,0.25,7,5,5
P11_C2,11,2,Low_to_High,17,pre_switch,1,0,0,0,1,0,0,0,0,0,0.25,0.25,7,-5,-5
P11_C2,11,2,Low_to_High,18,pre_switch,0,0,1,1,0,0,1,0,0,0,0.5,0.25,7,5,5
P11_C2,11,2,Low_to_High,19,pre_switch,1,0,0,0,1,0,0,0,0,0,0.25,0.25,7,-5,-5
P11_C2,11,2,Low_to_High,20,pre_switch,0,0,1,1,0,0,1,0,0,0,0.75,0.25,7,5,5
P11_C2,11,2,Low_to_High,21,post_switch,0,1,0,0,0,0,1,0,0,0,0.25,0.5,1,-5,-5
P11_C2,11,2,Low_to_High,22,post_switch,0,1,0,0,0,0,1,0,0,0,0.25,0.25,1,-5,-5
P11_C2,11,2,Low_to_High,23,post_switch,0,1,0,0,0,0,1,0,0,0,0.25,0.5,1,-5,-5
P11_C2,11,2,Low_to_High,24,post_switch,0,0,1,1,0,0,1,0,0,0,0.75,0.5,7,5,5
P11_C2,11,2,Low_to_High,25,post_switch,1,1,1,0,1,0,0,0,1,0,0.75,0.75,1,-5,5
P11_C2,11,2,Low_to_High,26,post_switch,0,1,1,1,0,0,1,0,0,0,0.75,0.25,1,5,5
P11_C2,11,2,Low_to_High,27,post_switch,1,1,1,1,0,0,0,1,0,0,0.75,0.75,1,5,5
P11_C2,11,2,Low_to_High,28,post_switch,0,1,0,0,0,0,1,0,0,0,0.75,0.5,1,-5,-5
P11_C2,11,2,Low_to_High,29,post_switch,1,0,0,0,1,0,0,0,0,0,0.25,0.25,7,-5,-5
P11_C2,11,2,Low_to_High,30,post_switch,1,1,1,0,1,0,0,0,1,0,0.25,0.25,1,-5,5
P12_C1,12,1,High_to_Low,1,pre_switch,1,1,1,0,1,0,0,0,1,0,0.75,1.0,1,-5,5
P12_C1,12,1,High_to_Low,2,pre_switch,1,1,1,0,1,0,0,0,1,0,0.75,1.0,1,-5,5
P12_C1,12,1,High_to_Low,3,pre_switch,1,1,1,1,0,0,0,1,0,0,0.75,1.0,1,5,5
P12_C1,12,1,High_to_Low,4,pre_switch,0,0,0,0,0,0,1,0,0,0,0.75,1.0,7,-5,-5
P12_C1,12,1,High_to_Low,5,pre_switch,1,1,1,1,0,0,0,1,0,0,1.0,0.75,1,5,5
P12_C1,12,1,High_to_Low,6,pre_switch,1,1,1,0,1,0,0,0,1,0,0.75,1.0,1,-5,5
P12_C1,12,1,High_to_Low,7,pre_switch,1,1,1,0,1,0,0,0,1,0,0.75,1.0,1,-5,5
P12_C1,12,1,High_to_Low,8,pre_switch,1,1,1,1,0,0,0,1,0,0,1.0,1.0,1,5,5
P12_C1,12,1,High_to_Low,9,pre_switch,1,0,0,0,1,0,0,0,0,0,1.0,0.75,7,-5,-5
P12_C1,12,1,High_to_Low,10,pre_switch,0,0,0,0,0,0,1,0,0,0,0.75,1.0,7,-5,-5
P12_C1,12,1,High_to_Low,11,pre_switch,0,1,0,0,0,0,1,0,0,0,0.75,1.0,1,-5,-5
P12_C1,12,1,High_to_Low,12,pre_switch,0,1,0,0,0,0,1,0,0,0,0.75,1.0,1,-5,-5
P12_C1,12,1,High_to_Low,13,pre_switch,1,1,1,0,1,0,0,0,1,0,0.75,1.0,1,-5,5
P12_C1,12,1,High_to_Low,14,pre_switch,1,1,1,1,1,0,0,0,0,0,0.75,1.0,1,5,5
P12_C1,12,1,High_to_Low,15,pre_switch,0,0,0,0,0,0,1,0,0,0,0.75,1.0,7,-5,-5
P12_C1,12,1,High_to_Low,16,pre_switch,1,1,1,0,1,0,0,0,1,0,0.75,1.0,1,-5,5
P12_C1,12,1,High_to_Low,17,pre_switch,0,1,0,0,0,0,1,0,0,0,0.5,1.0,1,-5,-5
P12_C1,12,1,High_to_Low,18,pre_switch,1,1,1,1,0,0,0,1,0,0,1.0,1.0,1,5,5
P12_C1,12,1,High_to_Low,19,pre_switch,0,1,0,0,0,0,1,0,0,0,0.5,1.0,1,-5,-5
P12_C1,12,1,High_to_Low,20,pre_switch,1,1,1,0,1,0,0,0,1,0,0.75,1.0,1,-5,5
P12_C1,12,1,High_to_Low,21,post_switch,1,0,0,1,1,0,0,0,0,1,1.0,0.75,7,5,-5
P12_C1,12,1,High_to_Low,22,post_switch,1,0,0,0,1,0,0,0,0,0,1.0,0.75,7,-5,-5
P12_C1,12,1,High_to_Low,23,post_switch,0,0,0,0,0,0,1,0,0,0,0.75,1.0,7,-5,-5
P12_C1,12,1,High_to_Low,24,post_switch,0,1,0,0,0,0,1,0,0,0,0.75,1.0,1,-5,-5
P12_C1,12,1,High_to_Low,25,post_switch,1,0,0,0,1,0,0,0,0,0,0.75,1.0,7,-5,-5
P12_C1,12,1,High_to_Low,26,post_switch,0,0,1,1,0,0,1,0,0,0,1.0,0.75,7,5,5
P12_C1,12,1,High_to_Low,27,post_switch,0,0,1,1,0,0,1,0,0,0,1.0,0.75,7,5,5
P12_C1,12,1,High_to_Low,28,post_switch,0,0,0,0,0,0,1,0,0,0,0.5,1.0,7,-5,-5
P12_C1,12,1,High_to_Low,29,post_switch,0,1,0,0,0,0,1,0,0,0,0.5,1.0,1,-5,-5
P12_C1,12,1,High_to_Low,30,post_switch,1,0,0,0,0,0,0,1,0,0,0.25,0.75,7,-5,-5
P12_C2,12,2,Low_to_High,1,pre_switch,1,0,0,1,1,0,0,0,0,1,0.25,0.75,7,5,-5
P12_C2,12,2,Low_to_High,2,pre_switch,0,0,0,0,0,0,1,0,0,0,0.25,0.75,7,-5,-5
P12_C2,12,2,Low_to_High,3,pre_switch,0,0,1,1,0,0,1,0,0,0,0.75,0.5,7,5,5
P12_C2,12,2,Low_to_High,4,pre_switch,0,1,0,0,0,0,1,0,0,0,0.5,0.75,1,-5,-5
P12_C2,12,2,Low_to_High,5,pre_switch,0,0,1,1,0,0,1,0,0,0,0.5,0.75,7,5,5
P12_C2,12,2,Low_to_High,6,pre_switch,0,0,0,0,0,0,1,0,0,0,0.75,0.5,7,-5,-5
P12_C2,12,2,Low_to_High,7,pre_switch,1,0,0,0,1,0,0,0,0,0,0.5,0.5,7,-5,-5
P12_C2,12,2,Low_to_High,8,pre_switch,0,0,1,1,0,0,1,0,0,0,0.75,0.25,7,5,5
P12_C2,12,2,Low_to_High,9,pre_switch,0,1,0,0,0,0,1,0,0,0,0.5,0.75,1,-5,-5
P12_C2,12,2,Low_to_High,10,pre_switch,0,1,0,0,0,0,1,0,0,0,0.25,0.75,1,-5,-5
P12_C2,12,2,Low_to_High,11,pre_switch,0,0,0,0,0,0,1,0,0,0,0.25,0.75,7,-5,-5
P12_C2,12,2,Low_to_High,12,pre_switch,0,0,1,1,0,0,1,0,0,0,0.25,0.75,7,5,5
P12_C2,12,2,Low_to_High,13,pre_switch,0,0,0,0,0,0,1,0,0,0,0.25,0.75,7,-5,-5
P12_C2,12,2,Low_to_High,14,pre_switch,0,0,0,0,0,0,1,0,0,0,0.25,1.0,7,-5,-5
P12_C2,12,2,Low_to_High,15,pre_switch,1,1,1,0,1,0,0,0,1,0,0.25,0.75,1,-5,5
P12_C2,12,2,Low_to_High,16,pre_switch,0,0,1,1,0,0,1,0,0,0,0.75,0.75,7,5,5
P12_C2,12,2,Low_to_High,17,pre_switch,1,0,0,0,1,0,0,0,0,0,0.25,0.75,7,-5,-5
P12_C2,12,2,Low_to_High,18,pre_switch,0,0,0,0,0,0,1,0,0,0,0.5,0.5,7,-5,-5
P12_C2,12,2,Low_to_High,19,pre_switch,0,0,0,0,0,0,1,0,0,0,0.75,0.75,7,-5,-5
P12_C2,12,2,Low_to_High,20,pre_switch,0,0,1,1,0,0,1,0,0,0,0.75,1.0,7,5,5
P12_C2,12,2,Low_to_High,21,post_switch,0,1,0,0,0,0,1,0,0,0,0.25,0.75,1,-5,-5
P12_C2,12,2,Low_to_High,22,post_switch,1,1,1,0,1,0,0,0,1,0,0.5,0.75,1,-5,5
P12_C2,12,2,Low_to_High,23,post_switch,0,1,0,0,0,0,1,0,0,0,0.25,1.0,1,-5,-5
P12_C2,12,2,Low_to_High,24,post_switch,0,0,0,0,0,0,1,0,0,0,0.25,0.75,7,-5,-5
P12_C2,12,2,Low_to_High,25,post_switch,1,1,1,1,1,0,0,0,0,0,0.5,1.0,1,5,5
P12_C2,12,2,Low_to_High,26,post_switch,0,1,0,0,0,0,1,0,0,0,0.5,1.0,1,-5,-5
P12_C2,12,2,Low_to_High,27,post_switch,0,1,0,0,0,0,1,0,0,0,0.75,1.0,1,-5,-5
P12_C2,12,2,Low_to_High,28,post_switch,1,1,1,0,1,0,0,0,1,0,0.5,0.75,1,-5,5
P12_C2,12,2,Low_to_High,29,post_switch,1,0,0,0,1,0,0,0,0,0,0.75,0.75,7,-5,-5
P12_C2,12,2,Low_to_High,30,post_switch,1,1,1,1,1,0,0,0,0,0,0.5,1.0,1,5,5
P13_C1,13,1,High_to_Low,1,pre_switch,0,1,1,1,0,0,1,0,0,0,0.75,0.5,1,5,5
P13_C1,13,1,High_to_Low,2,pre_switch,0,1,0,0,0,0,1,0,0,0,0.5,0.75,1,-5,-5
P13_C1,13,1,High_to_Low,3,pre_switch,1,1,1,1,0,0,0,1,0,0,0.75,0.75,1,5,5
P13_C1,13,1,High_to_Low,4,pre_switch,0,0,0,0,0,0,1,0,0,0,0.5,0.75,7,-5,-5
P13_C1,13,1,High_to_Low,5,pre_switch,1,1,1,1,0,0,0,1,0,0,0.75,0.75,1,5,5
P13_C1,13,1,High_to_Low,6,pre_switch,0,1,0,0,0,0,1,0,0,0,0.5,0.75,1,-5,-5
P13_C1,13,1,High_to_Low,7,pre_switch,1,1,1,1,1,0,0,0,0,0,0.5,0.75,1,5,5
P13_C1,13,1,High_to_Low,8,pre_switch,1,1,1,1,0,0,0,1,0,0,0.75,0.75,1,5,5
P13_C1,13,1,High_to_Low,9,pre_switch,0,0,0,0,0,0,1,0,0,0,0.5,0.75,7,-5,-5
P13_C1,13,1,High_to_Low,10,pre_switch,0,0,0,0,0,0,1,0,0,0,0.5,0.75,7,-5,-5
P13_C1,13,1,High_to_Low,11,pre_switch,0,1,0,0,0,0,1,0,0,0,0.25,0.5,1,-5,-5
P13_C1,13,1,High_to_Low,12,pre_switch,1,1,1,0,1,0,0,0,1,0,0.5,0.75,1,-5,5
P13_C1,13,1,High_to_Low,13,pre_switch,0,1,0,0,0,0,1,0,0,0,0.25,0.5,1,-5,-5
P13_C1,13,1,High_to_Low,14,pre_switch,0,1,1,1,0,0,1,0,0,0,0.5,0.75,1,5,5
P13_C1,13,1,High_to_Low,15,pre_switch,0,0,0,0,0,0,1,0,0,0,0.25,0.5,7,-5,-5
P13_C1,13,1,High_to_Low,16,pre_switch,1,1,1,1,0,0,0,1,0,0,0.5,0.5,1,5,5
P13_C1,13,1,High_to_Low,17,pre_switch,0,1,0,0,0,0,1,0,0,0,0.25,0.5,1,-5,-5
P13_C1,13,1,High_to_Low,18,pre_switch,1,1,1,1,0,0,0,1,0,0,0.5,0.5,1,5,5
P13_C1,13,1,High_to_Low,19,pre_switch,0,1,0,0,0,0,1,0,0,0,0.25,0.5,1,-5,-5
P13_C1,13,1,High_to_Low,20,pre_switch,1,1,1,1,0,0,0,1,0,0,0.5,0.5,1,5,5
P13_C1,13,1,High_to_Low,21,post_switch,0,0,1,1,0,0,1,0,0,0,0.5,0.5,7,5,5
P13_C1,13,1,High_to_Low,22,post_switch,1,0,0,0,1,0,0,0,0,0,0.5,0.5,7,-5,-5
P13_C1,13,1,High_to_Low,23,post_switch,0,0,0,0,0,0,1,0,0,0,0.25,0.5,7,-5,-5
P13_C1,13,1,High_to_Low,24,post_switch,0,1,0,0,0,0,1,0,0,0,0.25,0.5,1,-5,-5
P13_C1,13,1,High_to_Low,25,post_switch,0,0,0,0,0,0,1,0,0,0,0.25,0.75,7,-5,-5
P13_C1,13,1,High_to_Low,26,post_switch,0,0,1,1,0,0,1,0,0,0,0.5,0.75,7,5,5
P13_C1,13,1,High_to_Low,27,post_switch,0,0,0,0,0,0,1,0,0,0,0.25,0.5,7,-5,-5
P13_C1,13,1,High_to_Low,28,post_switch,0,0,1,1,0,0,1,0,0,0,0.5,0.5,7,5,5
P13_C1,13,1,High_to_Low,29,post_switch,1,1,1,0,1,0,0,0,1,0,0.5,0.75,1,-5,5
P13_C1,13,1,High_to_Low,30,post_switch,0,0,1,1,0,0,1,0,0,0,0.5,0.75,7,5,5
P13_C2,13,2,Low_to_High,1,pre_switch,1,0,0,0,1,0,0,0,0,0,0.5,0.75,7,-5,-5
P13_C2,13,2,Low_to_High,2,pre_switch,0,0,0,0,0,0,1,0,0,0,0.5,0.75,7,-5,-5
P13_C2,13,2,Low_to_High,3,pre_switch,0,0,1,0,0,0,1,0,0,0,0.75,0.75,7,-5,5
P13_C2,13,2,Low_to_High,4,pre_switch,1,1,1,0,1,0,0,0,1,0,0.75,0.75,1,-5,5
P13_C2,13,2,Low_to_High,5,pre_switch,0,0,1,1,0,0,1,0,0,0,0.75,0.75,7,5,5
P13_C2,13,2,Low_to_High,6,pre_switch,0,0,0,0,0,0,1,0,0,0,0.5,0.75,7,-5,-5
P13_C2,13,2,Low_to_High,7,pre_switch,0,0,1,1,0,0,1,0,0,0,0.75,0.75,7,5,5
P13_C2,13,2,Low_to_High,8,pre_switch,0,0,1,1,0,0,1,0,0,0,0.75,0.75,7,5,5
P13_C2,13,2,Low_to_High,9,pre_switch,0,1,0,0,0,0,1,0,0,0,0.5,0.75,1,-5,-5
P13_C2,13,2,Low_to_High,10,pre_switch,1,1,1,0,1,0,0,0,1,0,0.75,0.75,1,-5,5
P13_C2,13,2,Low_to_High,11,pre_switch,0,0,0,0,0,0,1,0,0,0,0.5,0.75,7,-5,-5
P13_C2,13,2,Low_to_High,12,pre_switch,1,0,0,0,1,0,0,0,0,0,0.5,0.75,7,-5,-5
P13_C2,13,2,Low_to_High,13,pre_switch,0,0,0,0,0,0,1,0,0,0,0.25,0.75,7,-5,-5
P13_C2,13,2,Low_to_High,14,pre_switch,0,0,0,0,0,0,1,0,0,0,0.25,0.75,7,-5,-5
P13_C2,13,2,Low_to_High,15,pre_switch,1,1,1,1,0,0,0,1,0,0,0.75,0.75,1,5,5
P13_C2,13,2,Low_to_High,16,pre_switch,0,0,0,0,0,0,1,0,0,0,0.25,0.75,7,-5,-5
P13_C2,13,2,Low_to_High,17,pre_switch,0,0,1,1,0,0,1,0,0,0,0.75,0.75,7,5,5
